File Name,No Disc.,Same Width,Same Frequency,Min. Entropy,Melhoria,,
newAbalone.arff,0.498817630,0.535640087,0.532850748,0.537555378,7.38%,6.82%,7.77%
bupa.arff,0.559975801,0.548286467,0.500311985,0.521499270,-2.09%,-10.65%,-6.87%
pima.arff,0.746257251,0.709709055,0.724994655,0.719159762,-4.90%,-2.85%,-3.63%
Ionosphere.arff,0.000000000,0.783747395,0.798274980,0.774581490,#DIV/0!,#DIV/0!,#DIV/0!
wine_classLast.arff,0.914663452,0.921357297,0.917707856,0.921453148,0.73%,0.33%,0.74%
ImageSegmentation_classFirst.arff,0.531901580,0.553671827,0.575602104,0.491831174,4.09%,8.22%,-7.53%
glass.arff,0.270782055,0.476969623,0.450964102,0.453652726,76.15%,66.54%,67.53%
appendicitis.arff,0.556964060,0.766041458,0.784578324,0.785232811,37.54%,40.87%,40.98%
balance.arff,0.574969234,0.607760866,0.680167627,0.553414013,5.70%,18.30%,-3.75%
ecoli.arff,0.716164268,0.617202665,0.637059234,0.608519292,-13.82%,-11.05%,-15.03%
haberman.arff,0.413331266,0.273094239,0.273148039,0.266217372,-33.93%,-33.92%,-35.59%
hayes-roth.arff,0.245558898,0.642571744,0.641992477,0.628320844,161.68%,161.44%,155.87%
iris.arff,0.832678692,0.929746026,0.935383077,0.930298621,11.66%,12.33%,11.72%
led7digit.arff,0.159100880,0.445750923,0.426220134,0.452801374,180.17%,167.89%,184.60%
mammographic.arff,0.800075552,0.792650320,0.790871351,0.796369883,-0.93%,-1.15%,-0.46%
page-blocks.arff,0.696062881,0.624200310,0.619209099,0.618954684,-10.32%,-11.04%,-11.08%
phoneme.arff,0.730174173,0.714935881,0.691958818,0.696617971,-2.09%,-5.23%,-4.60%
spambase.arff,0.418870215,0.610059704,0.630767819,0.641202852,45.64%,50.59%,53.08%
titanic.arff,0.603842779,0.670634673,0.669057891,0.671110389,11.06%,10.80%,11.14%
vehicle.arff,0.370752590,0.409658718,0.404571010,0.423303689,10.49%,9.12%,14.17%
vowel.arff,0.084688532,0.255496333,0.256022899,0.256404939,201.69%,202.31%,202.76%
winequality-white.arff,0.000000000,0.016023442,0.015607381,0.015498421,#DIV/0!,#DIV/0!,#DIV/0!
wisconsin.arff,0.965486289,0.968530227,0.973719223,0.972757308,0.32%,0.85%,0.75%
yeast.arff,0.000000000,0.393742885,0.399116368,0.401358036,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,
,,,,,14,14,12
,,,,,58.33%,58.33%,50.00%
