File Name,Disc. Method,Accuracy,Std,G-Measure,Std,,,
golfContinuo.arff,None,0.48,0.144794742,0.44532218,0.035820576,-0.00215837,0.073211714,0.150829328
golfContinuo.arff,Same Width,0.473333333,0.170057462,0.44748055,0.09223023,0.075370084,0.152987698,-0.063714001
golfContinuo.arff,Same Frequency,0.413333333,0.173668994,0.372110466,0.06312777,0.077617614,-0.139084085,0.08323168
golfContinuo.arff,Min. Entropy,0.386666667,0.127936766,0.294492852,0.114849547,-0.216701699,0.005614067,0.012272464
newAbalone.arff,None,0.488620269,0.018384593,0.511194551,0.004680127,0.222315765,0.228974162,0.230903825
newAbalone.arff,Same Width,0.544004884,0.008109393,0.288878786,0.004486731,0.006658397,0.00858806,-0.277640568
newAbalone.arff,Same Frequency,0.542808303,0.008769991,0.282220389,0.004674826,0.001929663,-0.284298965,-0.188964414
newAbalone.arff,Min. Entropy,0.541465201,0.00806056,0.280290726,0.003555212,-0.286228627,-0.190894077,-0.253249835
bupa.arff,None,0.549275362,0.061193541,0.566519353,0.012096451,0.09533455,0.032978792,0.026155493
bupa.arff,Same Width,0.576521739,0.034265268,0.471184803,0.022042571,-0.062355758,-0.069179058,-0.221781178
bupa.arff,Same Frequency,0.589565217,0.032966058,0.533540561,0.012000487,-0.006823299,-0.15942542,-0.144259983
bupa.arff,Min. Entropy,0.592753623,0.03661467,0.540363861,0.015950216,-0.152602121,-0.137436683,-0.13115672
pima.arff,None,0.751432292,0.021407295,0.692965981,0.008065194,0.015165437,0.0214454,0.005813825
pima.arff,Same Width,0.726953125,0.023310314,0.677800544,0.005718339,0.006279963,-0.009351613,0.677800544
pima.arff,Same Frequency,0.726432292,0.019204797,0.671520581,0.003882948,-0.015631576,0.671520581,-0.121641573
pima.arff,Min. Entropy,0.735807292,0.026936299,0.687152157,0.007735781,0.687152157,-0.106009998,-0.108020209
Ionosphere.arff,None,0.641025641,0,0,0,-0.793162154,-0.795172366,-0.793757413
Ionosphere.arff,Same Width,0.764387464,0.055285491,0.793162154,0.012092995,-0.002010211,-0.000595258,0.598988639
Ionosphere.arff,Same Frequency,0.788888889,0.042537119,0.795172366,0.011548466,0.001414953,0.60099885,0.232710442
Ionosphere.arff,Min. Entropy,0.763817664,0.050163824,0.793757413,0.022639808,0.599583898,0.231295489,0.216579404
ecoli_replacedName.arff,None,0.325663717,0.161704847,0.194173515,0.054999113,-0.368288408,-0.383004493,-0.392380578
ecoli_replacedName.arff,Same Width,0.408259587,0.043461636,0.562461923,0.006445393,-0.014716085,-0.02409217,-0.334333254
ecoli_replacedName.arff,Same Frequency,0.412389381,0.056287063,0.577178008,0.006553057,-0.009376085,-0.319617169,-0.334939604
ecoli_replacedName.arff,Min. Entropy,0.406489676,0.060688795,0.586554093,0.020470246,-0.310241085,-0.325563519,-0.339497246
wine_classLast.arff,None,0.915819209,0.03683464,0.896795178,0.007617225,-0.015322435,-0.029256161,-0.044703287
wine_classLast.arff,Same Width,0.924858757,0.028039358,0.912117612,0.009529108,-0.013933726,-0.029380853,0.406803359
wine_classLast.arff,Same Frequency,0.944632768,0.030166711,0.926051339,0.009902817,-0.015447126,0.420737086,0.302987763
wine_classLast.arff,Min. Entropy,0.939548023,0.025832802,0.941498465,0.012589376,0.436184212,0.318434889,0.289724961
ImageSegmentation_classFirst.arff,None,0.706140351,0.047041285,0.505314253,0.038044554,-0.117749323,-0.146459251,-0.103757185
ImageSegmentation_classFirst.arff,Same Width,0.788596491,0.04245169,0.623063576,0.014076609,-0.028709929,0.013992137,0.623063576
ImageSegmentation_classFirst.arff,Same Frequency,0.797807018,0.036810223,0.651773504,0.006740829,0.042702066,0.651773504,0.651773504
ImageSegmentation_classFirst.arff,Min. Entropy,0.78245614,0.040257395,0.609071438,0.019775043,0.609071438,0.609071438,0.609071438
